auctionid,bid,bidtime,bidder,bidderrate,openbid,price,item
1,175,2.230949,schadenfreud,0,99,100,xbox
2,100,2.600116,chuik,0,99,101,iphone
3,120,2.60081,kiwisstuff,2,99,102,oneplus
4,150,2.601076,kiwisstuff,2,99,103,xiomi
5,177.5,2.909826,eli.flint,4,99,104,sanbox
6,1,0.355856,bfalconb,2,1,105,mobile
7,1.25,0.484757,sbord,1,1,106,mouse
8,1.5,0.492639,bfalconb,2,1,107,keyboard
9,25,0.49463,sbord,1,1,108,laptop
1,175,2.230949,schadenfreud,0,99,200,xbox
2,100,2.600116,chuik,0,99,201,iphone
3,120,2.60081,kiwisstuff,2,99,202,oneplus
4,150,2.601076,kiwisstuff,2,99,203,xiomi
5,177.5,2.909826,eli.flint,4,99,204,sanbox
6,1,0.355856,bfalconb,2,1,205,mobile
7,1.25,0.484757,sbord,1,1,206,mouse
8,1.5,0.492639,bfalconb,2,1,207,keyboard
9,25,0.49463,sbord,1,1,208,laptop
